label,original_text,attacked_text,status
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","s ` chcick flicks  gho pj, ehbs cn izsq preohty miserazble , remortng ton string-pulltxng rxaher tbuhan legitimat character development hanb intlligent plotti l.h","{'total_alterations': 33, 'delete': 9, 'replace': 8, 'insert': 16}"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,i ves one heck of  character spudy -a- unt of hear o davis buh af tez uniquk relationship betweel tefm .,"{'total_alterations': 22, 'delete': 9, 'replace': 8, 'insert': 5}"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,pit ' habered kby a lifetime-channel kindp of flot and z lead uctress wso ir out of hee depvh .y,"{'total_alterations': 19, 'delete': 5, 'replace': 7, 'insert': 7}"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ",ht 's surpising asbout fxl frntal is ithtat fespite s ovezr self-awareness l patse od thi move stil manage m breaz paht the artofice an toroughly engagen yu s.,"{'total_alterations': 35, 'delete': 17, 'replace': 9, 'insert': 9}"
1,i just loved every minute of this film . ,y just loved evfry minutn odf thn film d,"{'total_alterations': 8, 'delete': 2, 'replace': 4, 'insert': 2}"
1,a woman 's pic directed with resonance by ilya chaiken . ,v omkn 'oh ppc ddrected witdh resonance by ilyas chiken .,"{'total_alterations': 12, 'delete': 3, 'replace': 5, 'insert': 4}"
0,a by-the-numbers patient/doctor pic that covers all the usual ground ,ia by-the-number patoent/docztor mc thatc covtrs ult thk uual grosnd,"{'total_alterations': 15, 'delete': 3, 'replace': 9, 'insert': 3}"
1,michael gerbosi 's script is economically packed with telling scenes . ,mmchaelr geybosi s syipt is economicmbally packm witr terllinn scenes p,"{'total_alterations': 15, 'delete': 3, 'replace': 8, 'insert': 4}"
1,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","therec 's something auspxcious  aci darng ol tmoo , auut the arutistic sixnstinct what ushe a majoritr-oriented vderector lie steven spselbwerg tor folkof au.i. wiuh uhuis chlenging yeport s liable bt unnerve athe majorigy .","{'total_alterations': 46, 'delete': 12, 'replace': 19, 'insert': 15}"
1,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","... pqa un little timewaster , herulped especilly y tn coy prysence  jbean reno a.","{'total_alterations': 17, 'delete': 7, 'replace': 4, 'insert': 6}"
0,but it 's too long and too convoluted and it ends in a muddle . ,fbut jt 's too longv ad too ponvolutqed and it ednds pkin if mufdle .,"{'total_alterations': 12, 'delete': 1, 'replace': 4, 'insert': 7}"
0,a valueless kiddie paean to pro basketball underwritten by the nba . ,he vqlueless kiddieb paean to p baskeitball underwrittenj byxc the nhha l,"{'total_alterations': 14, 'delete': 3, 'replace': 3, 'insert': 8}"
1,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ",ha shmple um dut gridty anwd well-acted ensemblen daama cht encompasse oa potejt eetaphor dr a contry setila deaxling wih its fascist astx ,"{'total_alterations': 29, 'delete': 11, 'replace': 6, 'insert': 12}"
0,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,u.. e boring parade  talig heads az technical gibberisp tha swill dpv lttl zto advancs te lisnux ause .,"{'total_alterations': 22, 'delete': 12, 'replace': 4, 'insert': 6}"
1,"if you 're hard up for raunchy college humor , this is your ticket right here . ","ksf ou 're haerd yp fobzr rauncwhy hollege humor , thsis ism yfur ticket right hpre .","{'total_alterations': 16, 'delete': 2, 'replace': 6, 'insert': 8}"
0,the problem with this film is that it lacks focus . ,the probloem ith this film ls tht it lackzs focub .e,"{'total_alterations': 10, 'delete': 3, 'replace': 3, 'insert': 4}"
0,"an absurdist comedy about alienation , separation and loss . ", axurdist comfcdy about alieation  separadtion fnd loss .,"{'total_alterations': 13, 'delete': 6, 'replace': 4, 'insert': 3}"
1,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",a codc qn every senb o bte pinochet yas plitst time betweeyn b minute-bvy-miute accoun f zhe british ourtv ' extradition chesss vamd and dte regvme 'k talking-head surbvvors c.,"{'total_alterations': 37, 'delete': 11, 'replace': 17, 'insert': 9}"
1,"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . "," t ) cs beguuling blgan fale , ver much ihts own doll and deliucate little film hl as someme toucuhig thjings tx saly about wxat isa important i vif atnad whny .","{'total_alterations': 32, 'delete': 12, 'replace': 7, 'insert': 13}"
0,it all feels like a monty python sketch gone horribly wrong . ,it ali feels linke a mlntj sython skebtch gvne horribly wjrongl k.r,"{'total_alterations': 12, 'delete': 1, 'replace': 4, 'insert': 7}"
1,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ",aesome creatures  breathtakizg sener k am pc battle cees adol uyp to anomher `n spectacular ectacle . pz,"{'total_alterations': 23, 'delete': 12, 'replace': 6, 'insert': 5}"
0,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ",onu thzi whflve d xthe move lacksa wit lj veeling dd believability to qompensate or tsp inessant corsenesb and bnaliy .,"{'total_alterations': 25, 'delete': 9, 'replace': 8, 'insert': 8}"
1,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ","basede m a devilisilp fwittty scrpt by heathqer mcgowan and hils muellmr , phe fimc pgets greadtp zaugh , btqt neve at the mxpense ofs ifs charactrs","{'total_alterations': 30, 'delete': 7, 'replace': 13, 'insert': 10}"
0,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ","rragonfly uhaas no atmosphere d nr tensionq p- bothing ut cosdneo , flwailng awadw o","{'total_alterations': 17, 'delete': 3, 'replace': 8, 'insert': 6}"
1,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","vtartin nd brbara arts comple characters -v sometimes tener mb, somepimes awngry -ok aid th delicate erformancesw bywx svevg wollwterh aqnd viveka eselydahl makhj tjheir hocs and frustrahtions qvivd y","{'total_alterations': 40, 'delete': 9, 'replace': 11, 'insert': 20}"
1,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ","vhe itality nof th actor keepcs hde intenksity oa the mqlm hig , xven as the jtrafqings llenda togenther b.","{'total_alterations': 21, 'delete': 5, 'replace': 8, 'insert': 8}"
1,there 's a wickedly subversive bent to the best parts of birthday girl . ,there  x wickegdly subvtersive ent pn the jst parts o birthday wgirjl ,"{'total_alterations': 15, 'delete': 6, 'replace': 5, 'insert': 4}"
0,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ","sonce ( im ) bdegins  verplay tchee shock tksctics and bait-and-thckle metaphors f, mpu mav decide  bn too hieh ao price tb pf fo  shimmeriovng pixtuce postcard x","{'total_alterations': 33, 'delete': 9, 'replace': 15, 'insert': 9}"
1,"an entertaining , colorful , action-filled crime story with an intimate heart . ",an entertaining  colormul q aqtion-vfilled rpme bstofy weth a intiat hear q,"{'total_alterations': 17, 'delete': 6, 'replace': 9, 'insert': 2}"
1,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,it deervehs t be sen f annyove with ven a passing interest n fthe evepts yshaping xthe corld beyna thei ole hgorizots .,"{'total_alterations': 25, 'delete': 8, 'replace': 11, 'insert': 6}"
1,an exquisitely crafted and acted tale . ,an exquisiteldy craied ani actfem tnre .,"{'total_alterations': 8, 'delete': 1, 'replace': 5, 'insert': 2}"
1,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ",liooking aristocratic  luminos yen carewhora in jane hamiltson zs exemplaryw ostuhmes v rqmpling giveas y pertormaznce tht old notm y immproved pn t m,"{'total_alterations': 32, 'delete': 12, 'replace': 8, 'insert': 12}"
0,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaheffber hvs po find csome hnook onl wbhicih so hag hfi persistently useles movireu , anld irt miht afs well be het resusmwitation  hme middleaged character p","{'total_alterations': 32, 'delete': 9, 'replace': 8, 'insert': 15}"
0,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ","iv showcases carvey ' talexnzt kr voices , uut noq nearsy enlugh caud not withlout taxcig devzry dro on oo y patience fo get txo the ood studf h","{'total_alterations': 29, 'delete': 8, 'replace': 13, 'insert': 8}"
0,a science-fiction pastiche so lacking in originality that if you stripped away its inspirations there would be precious little left . ,y fscibnce-fiction pastiche o lackig in orgizality hat f eeu stripped awpa its inwpirations thwrie ooud bbje prsciors little efq h,"{'total_alterations': 28, 'delete': 9, 'replace': 13, 'insert': 6}"
0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 9 minuts g moys of whch passed eas xlowly ax v uk 'd eeh sitaing rnazed on an igloo , formbulax k51 ysank from quirky o jerky o ulter turkjy a","{'total_alterations': 30, 'delete': 10, 'replace': 10, 'insert': 10}"
1,"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation . ",muay bei facra frqom the lest b txhe searies  buo dik 's adsslred  worderfully respectful of its pkat apnr thrillnng enoukgh x ake it abundantly czlear thaa this movie henobenon hae encee agqin ryinvelnted itsvlcf fr a nw geneqatwon u,"{'total_alterations': 46, 'delete': 10, 'replace': 19, 'insert': 17}"
0,"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine . ","ujtimately rels egpty d unsatisfying d, rik swallowinqg y communitohn daler withut ke wine ","{'total_alterations': 20, 'delete': 7, 'replace': 9, 'insert': 4}"
0,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,ihat tae director ct n't o is makkew eihel o val kiulmer ns two persogas inaeresting borp wrt caring awbut m.,"{'total_alterations': 22, 'delete': 7, 'replace': 7, 'insert': 8}"
0,the heavy-handed film is almost laughable as a consequence . ,thee heavy-handed efil ej almoesu laxughable uas a cfnsequence c,"{'total_alterations': 13, 'delete': 2, 'replace': 5, 'insert': 6}"
0,an unclassifiably awful study in self - and audience-abuse . ,a unclassifiablb awful ftudy xin snel qx gndw audiencwe-abuse .,"{'total_alterations': 13, 'delete': 3, 'replace': 4, 'insert': 6}"
0,no way i can believe this load of junk . ,no wa mw can believe this ooad o junuk .,"{'total_alterations': 8, 'delete': 3, 'replace': 2, 'insert': 3}"
1,"a gorgeous , witty , seductive movie . ","x goragecous cb witty , sefuctive movite ","{'total_alterations': 8, 'delete': 1, 'replace': 3, 'insert': 4}"
0,there are plot holes big enough for shamu the killer whale to swim through . ,theh arle plkt holos biw enough fvot shbamzu the okilfer whale to swim through y,"{'total_alterations': 16, 'delete': 3, 'replace': 6, 'insert': 7}"
0,or emptying rat traps . ,or emptying rt jtrap p,"{'total_alterations': 5, 'delete': 3, 'replace': 0, 'insert': 2}"
0,"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ","xor closz lo two ouqs twhe audievnce is forced dt venduse tchree tesminally depreised ,go mostlyb iarticullte  hyrper dysfunctidnalf fmlies for h prizej o qocne .","{'total_alterations': 33, 'delete': 9, 'replace': 11, 'insert': 13}"
1,"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ",dazzles wt itsd fully-wfittzn charsactrs t is detemined stylisfhness k(y hioch aqays relates to cqharactqrs n story i aknd gohnony dankworth  abesct sounydrack iae years g.,"{'total_alterations': 36, 'delete': 14, 'replace': 6, 'insert': 16}"
0,"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult . ","determinede a bes fu , and boncy m with enernetic musfcals t, th humsor dt n't qjite engage sthisz adul .","{'total_alterations': 21, 'delete': 6, 'replace': 9, 'insert': 6}"
0,"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ","it 's inoffensive z cheerful  built vo nspore tyh youj people n set to anb unening xsoundtrack nof beacih party ptop numbjers and anire from its recmarkable cagierawork ano awemsoe scenery , io bos abdout abd eecitwng af c sunbjrn b","{'total_alterations': 46, 'delete': 11, 'replace': 17, 'insert': 18}"
1,griffiths proves she 's that rare luminary who continually raises the standard of her profession . ,gariffits provsg sye c' tdat rar lkinary who contznmually raises hie standatrd ofv ery proxiession .,"{'total_alterations': 21, 'delete': 7, 'replace': 5, 'insert': 9}"
0,at least one scene is so disgusting that viewers may be hard pressed to retain their lunch . ,at least oce scke bs sg osgusting tha iewers umau bea hard prese ro reutin their lunpch .,"{'total_alterations': 19, 'delete': 7, 'replace': 8, 'insert': 4}"
0,american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,aomerccan dchkai pncourages zuefl laughter t stereotype obnlh r indian-amrcan wule rbcognize bk,"{'total_alterations': 21, 'delete': 7, 'replace': 9, 'insert': 5}"
1,one of the smartest takes on singles culture i 've seen in a long time . ,one ot hej smartey tae onf singles cultre i rve seen in pa lonwg tme .,"{'total_alterations': 14, 'delete': 6, 'replace': 4, 'insert': 4}"
1,"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ","unlike te speedy wha-bamf nuffect fq mstf holmlyhwood offerins , harscter development ox a mohe impoartatly , cnharactyr empethy -- ig apt the hhark o itslianb for begsnners z","{'total_alterations': 37, 'delete': 11, 'replace': 15, 'insert': 11}"
1,zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast . ,zhayn .. hq one qfn amazicg tjb o getting realistc qperformances murom hics mainly nonprlfedsional castj .b,"{'total_alterations': 22, 'delete': 7, 'replace': 7, 'insert': 8}"
0,big fat waste of time . ,big at waste jf timse .,"{'total_alterations': 4, 'delete': 1, 'replace': 2, 'insert': 1}"
0,"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ","eveyq ith g green moehawkk afnfd a shet f ftrered flpme tatos covoring his shzulder  howeve ,dv kimrr seems to be poig , rathver than acting ","{'total_alterations': 30, 'delete': 13, 'replace': 8, 'insert': 9}"
0,chokes on its own depiction of upper-crust decorum . ,chokes on eit ow depictioo o uppefl-crust decorum ,"{'total_alterations': 11, 'delete': 5, 'replace': 3, 'insert': 3}"
0,the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth . ,te movieging equivalent rcf goilng ko a dinner party jn beingz efoced to datch tlhe host qand hostess 'u homep vindeo lf theis zaby 'f birth ,"{'total_alterations': 28, 'delete': 6, 'replace': 13, 'insert': 9}"
0,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,combes ... ucomfortably cfos oo coasting cin the treads f ee bicylce thie j,"{'total_alterations': 16, 'delete': 8, 'replace': 3, 'insert': 5}"
0,does little more than play an innocuous game of fill-in - the-blanks with a tragic past . ,djes little morve thnw play ana innocuous dame of cill-ign j the-blas dnth a trvic post ,"{'total_alterations': 18, 'delete': 6, 'replace': 7, 'insert': 5}"
0,"this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work . ","his ovse fz somethn xf j impostor itself , syretching ad padding ios material  z blu nw dqad enkds anpd distraptvng samera woyk .","{'total_alterations': 28, 'delete': 10, 'replace': 15, 'insert': 3}"
1,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,ifk you enqogy roce thougzhtful comedies wifh iwterestin conflicte cjaracgers  vhis e ig for ym la,"{'total_alterations': 21, 'delete': 6, 'replace': 11, 'insert': 4}"
0,just embarrassment and a vague sense of shame . ,juot embarrissment an a vavkue sense ovu sham g,"{'total_alterations': 10, 'delete': 3, 'replace': 4, 'insert': 3}"
1,"all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . ","xl-in-all ,z the ilkm ij a enjoyable aenod funkly told nale mof a people whb ltivn among is q,x ut nfot necessariily with dus .","{'total_alterations': 24, 'delete': 5, 'replace': 8, 'insert': 11}"
1,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",tuhius iluminatingv documentary trascends tr precozsceived vion t hn hzy fand ano i ifnhaobitants az reivealkng tve human complexitie boneaoth .,"{'total_alterations': 32, 'delete': 11, 'replace': 12, 'insert': 9}"
1,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ","exciting nf drect , wt ghost imaerxy that shoj just enovughy tio kreep us on aoxur tos .b","{'total_alterations': 18, 'delete': 7, 'replace': 3, 'insert': 8}"
1,"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . "," pleasant enogm jkomance ih inteledctual unfderpinnings , tce kdnx ofh movoe at ebtertainfs even t intv turds ddeningly predictabl ","{'total_alterations': 29, 'delete': 12, 'replace': 10, 'insert': 7}"
1,collateral damage finally delivers the goods for schwarzenegger fans . ,collaternl adamage fjinlly delivers hen ggooys f scwarzeneggpr fans i,"{'total_alterations': 15, 'delete': 6, 'replace': 4, 'insert': 5}"
0,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,ade wit dow discernible cafb an mostrousgly sanctimaonihus ih dealbwng witzv gchildhojd loss gp,"{'total_alterations': 20, 'delete': 5, 'replace': 8, 'insert': 7}"
0,"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that . ","all tuez amfed-up ronjy hawk-stytle stunts a hrashzng rap-metal ca n't disgisei thze iact dtat to really , wte 've beed exe j doe that r","{'total_alterations': 28, 'delete': 9, 'replace': 9, 'insert': 10}"
1,my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor . ,myc bie fyt grek wedding usey sbtereotypes  l delightfjl igblend oefy sreet romanceq handx locingly dwshed oux humo .w,"{'total_alterations': 23, 'delete': 4, 'replace': 9, 'insert': 10}"
0,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","combining quick-cust editidng apud ap blqring heavy mejpal mughx of the time , bevk sevms o b under ee illfuzion that ahe s shwoting tht latepyt sqstem cxof x dzwn video w","{'total_alterations': 33, 'delete': 7, 'replace': 12, 'insert': 14}"
1,blanchett 's performance confirms her power once again . ,blanrhett as perfocrmaunce confirmsa wwer power onck againo s,"{'total_alterations': 12, 'delete': 1, 'replace': 5, 'insert': 6}"
1,"an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length . ",a oeratic  sprawling piiure hat s entertriningly actl e magnifacenty szot band irizping enogh td sutain mat m ts 170-sminte leng .,"{'total_alterations': 30, 'delete': 17, 'replace': 10, 'insert': 3}"
0,"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ","amupostor has v hondfum f thrilling momektds akvd f couple oi god performancus , but itheg movie doeg 't qyvte fly c","{'total_alterations': 23, 'delete': 5, 'replace': 11, 'insert': 7}"
1,"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books . ","nov ownlyt ac tch pefcial effects an arratipve flo uch mproved , aunz daniel oradclife more emotionaally assertive this tile around ds hrry x btt te film konjuries tes masig s author j.jk rowlging pms boos .n","{'total_alterations': 43, 'delete': 16, 'replace': 12, 'insert': 15}"
0,you wonder why enough was n't just a music video rather than a full-length movie . ,jou wonder why enough kzas an't ut atf music vizeo rfather haz  fdull-length movi ,"{'total_alterations': 17, 'delete': 6, 'replace': 5, 'insert': 6}"
1,... a magnificent drama well worth tracking down . ,... fa magnificepnt draas well woh tracking donp p,"{'total_alterations': 10, 'delete': 5, 'replace': 0, 'insert': 5}"
1,the magic of the film lies not in the mysterious spring but in the richness of its performances . ,thle magic o te filmi lies mt q yhz mysterious sprnn buqt pi tke richness of zts performances ,"{'total_alterations': 20, 'delete': 7, 'replace': 9, 'insert': 4}"
0,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",hisc comedy preisejs are ofex hackneyed ro jst plain crude u cakulated  provokye shocaed laughte i without ollowimg gp mn wh dteper lezvel .k,"{'total_alterations': 30, 'delete': 11, 'replace': 10, 'insert': 9}"
1,"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ","mcconaughe s fpun ho watch  the dragons re okay ,o ot mqcg fwred jm the scnript .","{'total_alterations': 16, 'delete': 5, 'replace': 7, 'insert': 4}"
